Id|Title|Problem Statement|Team Mgmt Received Date|Executive Summary|Status|Process Step|Resolution Group|Primary Council POC - Name|Secondary Resolution Group|Secondary Council POC - Name|Reporting Organization|Facility|Submitter - Name|Ticket Numbers|Notes/Updates|Source|Scope of Impact|Intake POC - Name|Desired Outcome|The Ask|Team Mgmt POC|Modified|ID Plus Title|PIT - # of Days till Next Update|Risk Score|SME POCs
322|Confirm manual workaround review for Grand Avenue Care Campus|The issue came in because the team could not confirm the expected path for manual workaround review. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Pending Closure; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-09-06|This record summarizes manual workaround review, current status, and ownership. The row should remain consistent with the related lookup and history files.|Pending Closure|||James, Brianna|||Region 40|Grand Avenue Care Campus|Turner, Brianna N.|OPS-10322;ICT10339;CASE-10356|2023-09-13: Met with the support contact to clarify who should provide the next update. Checked OPS-10322 and kept it linked to this issue.; 2023-10-08: Updated after checking prior notes. Waiting on the assigned group to confirm timing.|Region 30||||Identify any blocker, confirm the scope of impact, and clarify the expected response for this manual workaround review record.|Wilson, Priya|2024-03-08 10:52:27|322 - Confirm manual workaround review for Grand Avenue Care Campus|No Date||Walker, Brianna
323|Investigate region 50 item tied to report definition question|The item reflects uncertainty around report definition question. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Issue Engagement; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2022-06-01|Captures the current state of a report definition question review.|Issue Engagement||||||Region 40|Blue River Health Center|Walker, Elliot P.|ICT10323|2022-06-09 - Checked the issue description against the current status and noted no conflicting information. Noted for follow-up during the next review cycle. Checked ICT10323 and kept it linked to this issue.; 2022-07-05 - No data conflict noted in this review.|Region 50;Mailbox||||Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this report definition question record.|Long, Maya|2024-03-09 17:55:13|323 - Investigate region 50 item tied to report definition question|Overdue||Ward, Elliot C.
324|Update platform support handoff with Health Technology Management|A recurring question about platform support handoff created extra coordination work. The available information is enough to begin review, but the resolution path still needs to be stated plainly. Current status is Issue Engagement; the listed owner context is Health Technology Management. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-12-23|Platform support handoff could be tracked through intake and follow-up. The status is Issue Engagement, and the record should not imply work beyond the documented scope.|Issue Engagement||Health Technology Management|Young, Jordan|||||Ward, Jamal|CASE-10324|2024-01-01 - Leadership review requested a clearer decision point before the item advances. Referenced CASE-10324 during review.; 2024-01-28 - Updated after comparing the request to the current workflow step.; 2024-02-17 - Keep visible for the next leadership review cycle.|ServiceNow||Walker, Jordan|A clean closure path for platform support handoff, with a reusable decision note before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this platform support handoff record.|White, Jamal R.|2024-04-21 11:23:24|324 - Update platform support handoff with Health Technology Management|Overdue||Health Technology Management;Watson, Jamal D.
325|Review regional visibility question before next review|The submitter described a gap in regional visibility question. The concern appears to involve ownership, timing, or documentation rather than a single isolated task. Current status is Intake; the listed owner context is the assigned team.|2022-06-07|This issue involves regional visibility question. The current source value is Enterprise, which should be considered when interpreting the request.|Intake|Coordinating with Council|||||Region 40|Grand Avenue Care Campus|Watson, Marcus R.||2022-06-17: Ticket review completed, remaining action is documented in the issue record. Ticket reference should remain linked until the record is closed.|Enterprise;Region 50|All Facilities/All Regions|Cox, Alicia B.|A clear owner and next step for regional visibility question, with reduced duplicate follow-up before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this regional visibility question record.||2022-07-19 12:38:27|325 - Review regional visibility question before next review|Overdue||Watson, Marcus R.;White, Marcus
326|Validate appointment template review for the affected team|The issue came in because the team could not confirm the expected path for appointment template review. The response needs to identify who owns the next step and what evidence is needed to finish review. Current status is Issue Engagement; the listed owner context is the assigned team.|2022-05-15|Tracks an appointment template review concern with status Issue Engagement. The assigned context is the affected team, and the notes should stay aligned to that scope.|Issue Engagement||||||||White, Priya S.||2022-05-26 - Clarified transfer expectations and documented the group expected to respond next.; 2022-06-24 - No additional handoff details requested at this time.|App||||Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this appointment template review record.||2023-06-22 00:53:55|326 - Validate appointment template review for the affected team|No Date|577|Williams, Priya F.
327|Prepare app item tied to training roster exception|The item reflects uncertainty around training roster exception. The next update should separate the operational question from any related ticket activity. Current status is Deleted/Error; the listed owner context is the assigned team.|2023-03-27|Summarizes training roster exception for the affected team. The current process step is not yet assigned, so the next update should focus on the remaining decision point.|Deleted/Error|||Coleman, Priya|||||Williams, Theo||2023-04-08: Additional clarification requested before the issue can be moved forward.; 2023-05-08: Updated after comparing the request to the current workflow step. Follow-up remains open.|App||||Identify any blocker, confirm the scope of impact, and clarify the expected response for this training roster exception record.|Reed, Paige|2023-05-21 23:22:02|327 - Prepare app item tied to training roster exception|No Date|547|Wilson, Theo G.
328|Resolve reconciliation mismatch review with the assigned team|A recurring question about reconciliation mismatch review created extra coordination work. The record should explain whether this is an active issue, a monitored item, or a closure candidate. Current status is Intake; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-01-17|This record summarizes reconciliation mismatch review, current status, and ownership. The row should remain consistent with the related lookup and history files.|Intake||||||||Wilson, Zane V.|DATA-10328|2024-01-30 - Closure review started and current notes were checked for sufficient evidence. Added for reporting clarity. DATA-10328 was used as the ticket reference for this update.; 2024-03-01 - Closure can proceed once final evidence is added.|Region 30||Nelson, Jordan M.|A reusable decision note for reconciliation mismatch review, with a clean closure path before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this reconciliation mismatch review record.||2024-04-25 17:15:22|328 - Resolve reconciliation mismatch review with the assigned team|No Date||Wood, Zane
329|Document shared mailbox intake before closure|The submitter described a gap in shared mailbox intake. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Monitored; the listed owner context is Health Technology Management.|2024-07-27|Captures the current state of a shared mailbox intake review.|Monitored||Health Technology Management||||||Wood, Blake W.||2024-07-27 - Impact review completed, no emergency action noted, but continued tracking is recommended.; 2024-07-31 - Added for reporting clarity.; 2024-07-31 - Risk appears manageable with current follow-up.|Mailbox||Hayes, Olivia|Reduced duplicate follow-up for shared mailbox intake, with a clear owner and next step before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this shared mailbox intake record.|Ward, Brianna P.|2024-07-28 06:31:46|329 - Document shared mailbox intake before closure|No Date||Wood, Blake W.;Health Technology Management;Wright, Blake J.
330|Align capacity assumption review for all facilities/all regions|The issue came in because the team could not confirm the expected path for capacity assumption review. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Deleted/Error; the listed owner context is Community Data Integration.|2023-02-02|Capacity assumption review could be tracked through intake and follow-up. The status is Deleted/Error, and the record should not imply work beyond the documented scope.|Deleted/Error|Awaiting Information Response|Community Data Integration|Kelly, Marcus|Ambulatory Council|Brooks, Blake|||Wright, Diana||2023-02-03: Follow-up entered after no additional detail was found in the prior update. Response requested before the next reporting pull.|App|All Facilities/All Regions|||Clarify the expected response, document the next action, and validate the current process step for this capacity assumption review record. Include Ambulatory Council if their input is needed for the final response.|Smith, Sofia P.|2024-03-01 11:07:21|330 - Align capacity assumption review for all facilities/all regions|Overdue|1628|Community Data Integration;Young, Diana K.
331|Clarify app item tied to guidance interpretation request|The item reflects uncertainty around guidance interpretation request. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Closed; the listed owner context is Behavioral Health. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-01-25|This issue involves guidance interpretation request. The current source value is App, which should be considered when interpreting the request.|Closed||Behavioral Health||Business Operations|Fisher, Xavier Y.|||Young, Iris Y.|SYS10331|2024-01-27 - Checked whether the issue is limited to the reporting entity or broader in scope. SYS10331 was used as the ticket reference for this update.; 2024-01-30 - No broader regional impact confirmed yet.|App;Region 50|Unique to report facility||A record that can be reviewed without extra context for guidance interpretation request, with a documented interpretation for the affected team before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this guidance interpretation request record.|Hall, Kara|2024-02-05 22:20:02|331 - Clarify app item tied to guidance interpretation request|Overdue|385|Behavioral Health;Adams, Iris
332|Confirm closure evidence standard with Perioperative Care|A recurring question about closure evidence standard created extra coordination work. The available information is enough to begin review, but the resolution path still needs to be stated plainly. Current status is Active Management; the listed owner context is Perioperative Care.|2024-07-30|Tracks a closure evidence standard concern with status Active Management. The assigned context is the affected team, and the notes should stay aligned to that scope.|Active Management||Perioperative Care|Thomas, Renee|Acute Care Delivery|Henderson, Grace J.|||Adams, Logan Z.||2024-07-31: Reviewed platform-related context and noted where process clarification is still needed.; 2024-07-31: Added context from the latest review. No platform change recommended from this review alone.|ServiceNow;Sprint List||||Identify any blocker, confirm the scope of impact, and clarify the expected response for this closure evidence standard record.|Powell, Iris D.|2024-07-30 22:40:48|332 - Confirm closure evidence standard with Perioperative Care|Overdue||Perioperative Care;Baker, Logan M.
333|Investigate mixed-source intake rule before next review|The submitter described a gap in mixed-source intake rule. The concern appears to involve ownership, timing, or documentation rather than a single isolated task. Current status is Monitored; the listed owner context is the assigned team.|2022-05-07|Summarizes mixed-source intake rule for Prairie View Outpatient Center. The current process step is To Solutioning, so the next update should focus on the remaining decision point.|Monitored|To Solutioning|||||Region 40|Prairie View Outpatient Center|Baker, Paige||2022-05-11 - Checked the record and confirmed the next action remains appropriate. Noted for follow-up during the next review cycle.; 2022-05-16 - Next update should confirm whether the action is complete.|Readiness Assessment;External Intake Channel|||A clear owner and next step for mixed-source intake rule, with reduced duplicate follow-up before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this mixed-source intake rule record.|Mitchell, Alex|2022-06-02 16:12:36|333 - Investigate mixed-source intake rule before next review|Overdue||Baker, Paige;Bennett, Paige N.
334|Update quality response follow-up for Canyon View Outpatient Center|The issue came in because the team could not confirm the expected path for quality response follow-up. The response needs to identify who owns the next step and what evidence is needed to finish review. Current status is Intake; the listed owner context is the assigned team.|2024-06-22|This record summarizes quality response follow-up, current status, and ownership. The row should remain consistent with the related lookup and history files.|Intake||||||Region 50|Canyon View Outpatient Center|Bennett, Tara B.||2024-06-27 - Confirmed coordination path with the listed group and noted the expected follow-up.; 2024-07-03 - Added for reporting clarity.; 2024-07-14 - Waiting on the assigned group to confirm timing.|ServiceNow|Unique to report facility||Consistent handling for similar requests for quality response follow-up, with a practical update that supports leadership reporting before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this quality response follow-up record.|Fisher, Keith Q.|2024-07-15 10:30:24|334 - Update quality response follow-up for Canyon View Outpatient Center|No Date||Brooks, Tara
335|Review external intake channel item tied to ticket escalation path|The item reflects uncertainty around ticket escalation path. The next update should separate the operational question from any related ticket activity. Current status is Duplicate/Related To; the listed owner context is the assigned team.|2024-07-23|Captures the current state of a ticket escalation path review.|Duplicate/Related To||||||||Brooks, Yara C.||2024-07-29: Reviewed available details and found no additional data source needed at this time. No data conflict noted in this review.|External Intake Channel||||Clarify the expected response, document the next action, and validate the current process step for this ticket escalation path record.||2024-07-28 20:42:06|335 - Review external intake channel item tied to ticket escalation path|Overdue||Bryant, Yara Q.
336|Validate owner assignment decision with the assigned team|A recurring question about owner assignment decision created extra coordination work. The record should explain whether this is an active issue, a monitored item, or a closure candidate. Current status is Monitored; the listed owner context is the assigned team.|2022-06-14|Owner assignment decision could be tracked through intake and follow-up. The status is Monitored, and the record should not imply work beyond the documented scope.|Monitored|||Perez, Lena P.|||||Bryant, Bianca||2022-06-21 - Manager review completed, record should stay visible until the next action is documented.; 2022-06-29 - Decision point should be documented before closure.|App|||A reusable decision note for owner assignment decision, with a clean closure path before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this owner assignment decision record.|Morgan, Brianna T.|2022-12-13 08:03:14|336 - Validate owner assignment decision with the assigned team|No Date|433|Campbell, Bianca R.
337|Prepare manual workaround review before closure|The submitter described a gap in manual workaround review. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Closed; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-06-24|This issue involves manual workaround review. The current source value is Region 40, which should be considered when interpreting the request.|Closed|||Fisher, Tara N.|||Region 50|Canyon View Outpatient Center|Campbell, Darius E.|REQ10337;INT-10354|2023-07-02: Reviewed the linked ticket trail and confirmed the record still needs local context. REQ10337 was used as the ticket reference for this update.; 2023-07-11: Updated after comparing the request to the current workflow step. Ticket activity and issue status are currently aligned.|Region 40|||Reduced duplicate follow-up for manual workaround review, with a clear owner and next step before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this manual workaround review record.|Parker, Theo|2023-12-14 15:07:30|337 - Prepare manual workaround review before closure|Overdue||Campbell, Darius E.;Carter, Darius
338|Resolve report definition question for Silver Mesa Clinic|The issue came in because the team could not confirm the expected path for report definition question. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Issue Engagement; the listed owner context is Platform Vendor.|2022-09-26|Tracks a report definition question concern with status Issue Engagement. The assigned context is Silver Mesa Clinic, and the notes should stay aligned to that scope.|Issue Engagement|Coordinating with System Integration Office|Platform Vendor|Parker, Ian N.|Acute Care Delivery|Jenkins, Noah Y.|Region 50|Silver Mesa Clinic|Carter, Ian F.||2022-10-05 - Added handoff context after confirming the prior notes did not show the next owner clearly. Updated after comparing the request to the current workflow step.; 2022-10-15 - No additional handoff details requested at this time.|ServiceNow||Jenkins, Iris|A practical update that supports leadership reporting for report definition question, with consistent handling for similar requests before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this report definition question record.|White, Jamal R.|2024-04-14 03:41:32|338 - Resolve report definition question for Silver Mesa Clinic|Overdue||Platform Vendor;Clark, Ian T.
339|Document readiness assessment item tied to platform support handoff|The item reflects uncertainty around platform support handoff. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Monitored; the listed owner context is the assigned team.|2024-06-03|Summarizes platform support handoff for Cedar Hill Clinic. The current process step is not yet assigned, so the next update should focus on the remaining decision point.|Monitored||||||Region 40|Cedar Hill Clinic|Clark, Lena||2024-06-13 - Additional clarification requested before the issue can be moved forward.; 2024-06-24 - Updated after comparing the request to the current workflow step.; 2024-07-10 - Follow-up remains open.|Readiness Assessment||Martin, Ian P.||Update the record with the decision, note what evidence is still missing, and identify any blocker for this platform support handoff record.||2024-06-07 03:02:42|339 - Document readiness assessment item tied to platform support handoff|No Date||Coleman, Lena V.
340|Align regional visibility question with System Integration Office|A recurring question about regional visibility question created extra coordination work. The available information is enough to begin review, but the resolution path still needs to be stated plainly. Current status is Deleted/Error; the listed owner context is System Integration Office.|2023-10-29|This record summarizes regional visibility question, current status, and ownership. The row should remain consistent with the related lookup and history files.|Deleted/Error|Pending Pre-Closure|System Integration Office|Campbell, Elliot|Nursing||||Coleman, Omar H.||2023-11-09: Record appears close to closure, but final validation is still pending. Closure can proceed once final evidence is added.|Readiness Assessment;App;Enterprise|All Facilities/All Regions||A clean closure path for regional visibility question, with a reusable decision note before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this regional visibility question record.|Reed, Paige|2023-12-18 23:21:17|340 - Align regional visibility question with System Integration Office|No Date|1857|System Integration Office;Collins, Omar
341|Clarify appointment template review before next review|The submitter described a gap in appointment template review. The concern appears to involve ownership, timing, or documentation rather than a single isolated task. Current status is Deleted/Error; the listed owner context is Enabling Entities.|2022-10-02|Captures the current state of an appointment template review.|Deleted/Error||Enabling Entities||Sensory Aid Services|Collins, Rafael Z.|||Collins, Sofia J.||2022-10-14 - Risk context updated based on current scope and status information.; 2022-10-27 - Continue monitoring for broader impact.|App|All facilities with impacted service|Green, Alex W.|A clear owner and next step for appointment template review, with reduced duplicate follow-up before the item is considered complete.|Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this appointment template review record.|Diaz, Avery M.|2023-01-01 09:47:09|341 - Clarify appointment template review before next review|No Date|822|Collins, Sofia J.;Enabling Entities;Cooper, Sofia X.
342|Confirm training roster exception for all facilities/all regions|The issue came in because the team could not confirm the expected path for training roster exception. The response needs to identify who owns the next step and what evidence is needed to finish review. Current status is Deleted/Error; the listed owner context is Cross Council. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-08-24|Training roster exception could be tracked through intake and follow-up. The status is Deleted/Error, and the record should not imply work beyond the documented scope.|Deleted/Error||Cross Council||Patient Engagement & Virtual Health|Bennett, Jamal Q.|||Cooper, Xavier|QA-10342|2023-09-06: Requested an updated response from the responsible group before the next review. Referenced QA-10342 during review.; 2023-09-20: Updated after checking prior notes. Response requested before the next reporting pull.|App;Region 30|All Facilities/All Regions|Murphy, Tina D.||Identify any blocker, confirm the scope of impact, and clarify the expected response for this training roster exception record. Include Patient Engagement & Virtual Health if their input is needed for the final response.|Kelly, Alicia K.|2024-06-14 14:55:25|342 - Confirm training roster exception for all facilities/all regions|Overdue|1755|Cross Council;Cox, Xavier Y.
343|Investigate mailbox item tied to reconciliation mismatch review|The item reflects uncertainty around reconciliation mismatch review. The next update should separate the operational question from any related ticket activity. Current status is Deleted/Error; the listed owner context is Radiology.|2022-08-01|This issue involves reconciliation mismatch review. The current source value is Mailbox, which should be considered when interpreting the request.|Deleted/Error||Radiology|Russell, Wendy|Geriatrics & Extended Care|Fisher, Xavier Y.|||Cox, Avery L.||2022-08-01 - Regional context reviewed and reflected in the current notes. Documented based on current owner feedback.; 2022-08-16 - Scope should be revisited if another region reports the same concern.|Mailbox|All facilities with impacted service|Evans, Maya F.||Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this reconciliation mismatch review record.||2023-06-25 11:38:35|343 - Investigate mailbox item tied to reconciliation mismatch review|Overdue||Radiology;Davis, Avery
344|Update shared mailbox intake with Acute Provider|A recurring question about shared mailbox intake created extra coordination work. The record should explain whether this is an active issue, a monitored item, or a closure candidate. Current status is Closed; the listed owner context is Acute Provider.|2023-11-10|Tracks a shared mailbox intake concern with status Closed. The assigned context is enterprise, and the notes should stay aligned to that scope.|Closed||Acute Provider;Health Information Management|Lewis, Zane|Sensory Aid Services|Howard, Theo C.|Enterprise||Davis, Dana M.||2023-11-11 - System-related details checked, next step is to confirm business ownership.; 2023-11-27 - Documented based on current owner feedback.; 2023-11-29 - No platform change recommended from this review alone.|App|||A reusable decision note for shared mailbox intake, with a clean closure path before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this shared mailbox intake record.|Diaz, Avery M.|2024-01-17 10:40:03|344 - Update shared mailbox intake with Acute Provider|No Date|413|Acute Provider;Diaz, Dana A.
345|Review capacity assumption review before closure|The submitter described a gap in capacity assumption review. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Deleted/Error; the listed owner context is the assigned team.|2023-03-06|Summarizes capacity assumption review for Blue River Health Center. The current process step is not yet assigned, so the next update should focus on the remaining decision point.|Deleted/Error||||||Region 40|Blue River Health Center|Diaz, Hannah||2023-03-08: Updated the record after reviewing the current summary and assigned group. No change to status after review.|App|||Reduced duplicate follow-up for capacity assumption review, with a clear owner and next step before the item is considered complete.|Clarify the expected response, document the next action, and validate the current process step for this capacity assumption review record.|Long, Maya|2024-06-20 22:40:32|345 - Review capacity assumption review before closure|No Date|506|Diaz, Hannah;Edwards, Hannah B.
347|Validate regional reporting package for Redwood Health Center|The issue came in because the team could not confirm the expected path for regional reporting package. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Closed; the listed owner context is Virtual Health.|2023-06-02|This record summarizes regional reporting package, current status, and ownership. The row should remain consistent with the related lookup and history files.|Closed||Virtual Health||Health Technology Management|Nelson, Jordan M.|Region 50|Redwood Health Center|Edwards, Keith P.||2023-06-05 - Met with the support contact to clarify who should provide the next update.; 2023-06-23 - Next coordination touchpoint should resolve ownership.|App;ServiceNow;Readiness Assessment||Lewis, Felix||Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this regional reporting package record.|Reed, Paige|2023-12-21 22:33:49|347 - Validate regional reporting package for Redwood Health Center|No Date|453|Virtual Health;Evans, Keith
348|Prepare app item tied to dashboard timing concern|The item reflects uncertainty around dashboard timing concern. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Pending Closure; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-03-04|Captures the current state of a dashboard timing concern review.|Pending Closure||||||Region 40|Cedar Hill Clinic|Evans, Olivia Q.|ICT10348|2023-03-08: Compared the narrative, source information, and scope details for consistency. Referenced ICT10348 during review.; 2023-03-27: Documented based on current owner feedback. Summary should be refreshed if new source details are added.|App||Cox, Darius S.|A record that can be reviewed without extra context for dashboard timing concern, with a documented interpretation for the affected team before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this dashboard timing concern record.|Gomez, Angela|2024-06-02 11:37:08|348 - Prepare app item tied to dashboard timing concern|No Date|494|Fisher, Olivia D.
349|Resolve coverage question review with the assigned team|A recurring question about coverage question review created extra coordination work. The available information is enough to begin review, but the resolution path still needs to be stated plainly. Current status is Closed; the listed owner context is the assigned team.|2022-12-31|Coverage question review could be tracked through intake and follow-up. The status is Closed, and the record should not imply work beyond the documented scope.|Closed|Coordinating with System Integration Office|||||Region 40|Prairie View Outpatient Center|Fisher, Robin||2023-01-05 - Manager review completed, record should stay visible until the next action is documented. Updated after comparing the request to the current workflow step.; 2023-01-25 - Keep visible for the next leadership review cycle.|App;External Intake Channel|All facilities with impacted service|Russell, Diana|A clean closure path for coverage question review, with a reusable decision note before the item is considered complete.|Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this coverage question review record.|Ward, Wendy Y.|2023-05-24 22:30:16|349 - Resolve coverage question review with the assigned team|Overdue|817|Flores, Robin E.
350|Document readiness checklist exception before next review|The submitter described a gap in readiness checklist exception. The concern appears to involve ownership, timing, or documentation rather than a single isolated task. Current status is Closed; the listed owner context is Perioperative Care. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-05-23|This issue involves readiness checklist exception. The current source value is App, which should be considered when interpreting the request.|Closed||Perioperative Care||||Region 50|Silver Mesa Clinic|Flores, Wendy S.|REQ10350|2023-05-29 - Ticket review completed, remaining action is documented in the issue record. Checked REQ10350 and kept it linked to this issue.; 2023-06-19 - Documented based on current owner feedback.; 2023-06-26 - Ticket activity and issue status are currently aligned.|App;Region 40||Lee, Carmen C.|A clear owner and next step for readiness checklist exception, with reduced duplicate follow-up before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this readiness checklist exception record.||2023-08-24 01:34:42|350 - Document readiness checklist exception before next review|Overdue|491|Flores, Wendy S.;Perioperative Care;Foster, Wendy
351|Align source extract timing for the affected team|The issue came in because the team could not confirm the expected path for source extract timing. The response needs to identify who owns the next step and what evidence is needed to finish review. Current status is Intake; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2024-04-14|Tracks a source extract timing concern with status Intake. The assigned context is the affected team, and the notes should stay aligned to that scope.|Intake||||||||Foster, Angela T.|INT-10351|2024-04-21: Added handoff context after confirming the prior notes did not show the next owner clearly. Handoff is ready once the next owner confirms acceptance. INT-10351 was used as the ticket reference for this update.|Enterprise||Carter, Zane V.||Clarify the expected response, document the next action, and validate the current process step for this source extract timing record.|Scott, Omar N.|2024-05-04 04:34:24|351 - Align source extract timing for the affected team|Overdue||Garcia, Angela G.
352|Clarify app item tied to rollout exception note|The item reflects uncertainty around rollout exception note. The next update should separate the operational question from any related ticket activity. Current status is Closed; the listed owner context is Health Information Management.|2022-12-21|Summarizes rollout exception note for Silver Mesa Clinic. The current process step is Pending Implementation, so the next update should focus on the remaining decision point.|Closed|Pending Implementation|Health Information Management||Nursing|Evans, Alicia N.|Region 50|Silver Mesa Clinic|Garcia, Casey||2022-12-29 - Follow-up question remains open regarding the expected resolution path.; 2023-01-21 - Answer is needed before the next process step can be confirmed.|App||Green, Marcus||Confirm the accountable owner, state whether closure is appropriate, and update the record with the decision for this rollout exception note record. Include Nursing if their input is needed for the final response.|Martinez, Tina R.|2023-01-23 17:18:17|352 - Clarify app item tied to rollout exception note|No Date|396|Health Information Management;Gomez, Casey H.
353|Confirm stakeholder update gap with Acute Provider|A recurring question about stakeholder update gap created extra coordination work. The record should explain whether this is an active issue, a monitored item, or a closure candidate. Current status is Intake; the listed owner context is Acute Provider.|2023-08-14|This record summarizes stakeholder update gap, current status, and ownership. The row should remain consistent with the related lookup and history files.|Intake|Active Plan Development|Acute Provider||Nursing|Garcia, Sofia|||Gomez, Grace W.|||Region 40|Unique to report facility||A reusable decision note for stakeholder update gap, with a clean closure path before the item is considered complete.|Identify any blocker, confirm the scope of impact, and clarify the expected response for this stakeholder update gap record.|Foster, Robin S.|2024-03-11 02:51:56|353 - Confirm stakeholder update gap with Acute Provider|No Date||Acute Provider;Gray, Grace
355|Investigate platform support handoff before closure|The submitter described a gap in platform support handoff. The request should be handled in a way that prevents duplicate follow-up through another source. Current status is Active Management; the listed owner context is the assigned team.|2023-12-17|Captures the current state of a platform support handoff review.|Active Management|Special Project||Coleman, Priya|||||Gray, Kara X.||2023-12-27 - Reviewed potential impact and kept the item visible because the scope may affect more than one workflow. Updated after checking prior notes.; 2024-01-21 - Reassess if scope expands.|Sprint List|All Facilities/All Regions|Stewart, Nadia||Validate the current process step, check whether the related source still applies, and confirm the accountable owner for this platform support handoff record.|Williams, Marcus S.|2024-03-26 20:43:25|355 - Investigate platform support handoff before closure|Overdue||Gray, Kara X.;Green, Kara K.
356|Update regional visibility question for the affected team|The issue came in because the team could not confirm the expected path for regional visibility question. The issue needs enough context so another reviewer can understand why the item remains open. Current status is Deleted/Error; the listed owner context is the assigned team. A related ticket is present, so the issue note should distinguish ticket activity from the operational decision.|2023-01-14|Regional visibility question could be tracked through intake and follow-up. The status is Deleted/Error, and the record should not imply work beyond the documented scope.|Deleted/Error||||||||Green, Noah|QA-10356|2023-01-25 - Sent follow-up request to clarify the remaining action and expected response date. Checked QA-10356 and kept it linked to this issue.; 2023-02-20 - Noted for follow-up during the next review cycle.; 2023-03-04 - Follow-up owner should update the record before the next cycle.|Sprint List;ServiceNow;Region 50||Nguyen, Maya|A practical update that supports leadership reporting for regional visibility question, with consistent handling for similar requests before the item is considered complete.|Update the record with the decision, note what evidence is still missing, and identify any blocker for this regional visibility question record.||2023-10-08 05:11:17|356 - Update regional visibility question for the affected team|No Date||Hall, Noah L.
357|Review region 50 item tied to appointment template review|The item reflects uncertainty around appointment template review. Different reviewers could reasonably interpret the next action differently without an added decision note. Current status is Closed; the listed owner context is Prosthetics & Sensory Aid Services.|2023-04-07|This issue involves appointment template review. The current source value is Region 50, which should be considered when interpreting the request.|Closed||Prosthetics & Sensory Aid Services|Lee, Theo B.|Nursing||||Hall, Renee Z.||2023-04-19: Confirmed the issue should be tracked with the current reporting entity pending more detail. Regional follow-up remains pending.|Region 50||||Clarify the expected response, document the next action, and validate the current process step for this appointment template review record.||2024-04-04 22:24:41|357 - Review region 50 item tied to appointment template review|Overdue||Prosthetics & Sensory Aid Services;Harris, Renee
